PERSON_ID,NAME,HELLO,DURATION,INTERACTION,COUNTERPART_ID,COUNTER_PART_NAME,TIME,MESSAGE,SENTIMENT_RESULT,P(POSITIVE),P(NEUTRAL),P(NEGATIVE)
PERSON_0000000001,Jennifer Martin,hello world,92.17242574,INTERACTION_0000000000,PERSON_0000000000,Matthew Chapman,01/01/22 4:27,South alone identify ready live of for really.,positive,0.53,0.39,0.07
PERSON_0000000002,Nicholas Ochoa,hello world,121.4351931,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 4:38,Fine magazine writer two task heart third both too if charge no worry.,positive,0.99,0,0.01
PERSON_0000000003,Bryce Finley,hello world,12.07013951,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 4:35,Near media call certain big accept voice growth I fish modern.,neutral,0.03,0.95,0.02
PERSON_0000000004,Justin Barr,hello world,11.01321363,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 4:52,Her I available deal family social feel he strong kid life.,positive,0.91,0.08,0.01
PERSON_0000000000,Matthew Chapman,hello world,12.16545334,INTERACTION_0000000003,PERSON_0000000001,Jennifer Martin,01/01/22 5:18,Town story hit budget above music think might under kitchen perform child.,neutral,0.14,0.65,0.21
PERSON_0000000001,Jennifer Martin,hello world,38.42525831,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 5:27,Break share test citizen toward dinner agent.,negative,0.04,0.45,0.51
PERSON_0000000002,Nicholas Ochoa,hello world,92.11186561,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 5:17,Mean might little hospital despite list statement kid despite relate hear nearly room sell.,negative,0.02,0.08,0.91
PERSON_0000000003,Bryce Finley,hello world,45.2157485,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,01/01/22 5:04,Phone generation laugh ago full want rule call movement support read.,neutral,0.2,0.7,0.1
PERSON_0000000004,Justin Barr,hello world,40.91482841,INTERACTION_0000000000,PERSON_0000000003,Bryce Finley,01/01/22 5:08,Forget summer decide team speech build.,negative,0.16,0.26,0.59
PERSON_0000000000,Matthew Chapman,hello world,27.57600165,INTERACTION_0000000001,PERSON_0000000002,Nicholas Ochoa,01/01/22 6:38,Study talk score fact require force do affect picture evidence.,negative,0.02,0.26,0.72
PERSON_0000000001,Jennifer Martin,hello world,136.7855264,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,01/01/22 6:34,And start according young discussion security.,neutral,0.06,0.9,0.05
PERSON_0000000002,Nicholas Ochoa,hello world,26.24212671,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 6:43,Manager should section left it treatment practice policy shake happy Democrat shake.,positive,0.88,0.09,0.03
PERSON_0000000003,Bryce Finley,hello world,3.569887592,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,01/01/22 6:50,Miss imagine admit thought old wear.,negative,0.02,0.1,0.88
PERSON_0000000004,Justin Barr,hello world,43.55343079,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 6:12,Activity pretty finally there machine program exactly game law.,neutral,0.22,0.71,0.08
PERSON_0000000000,Matthew Chapman,hello world,76.42356627,INTERACTION_0000000000,PERSON_0000000003,Bryce Finley,01/01/22 7:02,Well million bill personal old ten work management mention.,neutral,0.24,0.42,0.34
PERSON_0000000001,Jennifer Martin,hello world,20.06904351,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,01/01/22 7:40,Pay before address wall by somebody Congress wind matter conference.,neutral,0.02,0.59,0.38
PERSON_0000000002,Nicholas Ochoa,hello world,30.90497082,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 7:33,Current cup seek a book film difficult employee newspaper.,negative,0.02,0.33,0.65
PERSON_0000000003,Bryce Finley,hello world,16.29402354,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 7:54,Fall American perhaps may growth tree benefit artist poor.,negative,0.07,0.2,0.73
PERSON_0000000004,Justin Barr,hello world,20.34119577,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,01/01/22 7:46,Contain matter throughout cause hear page a hard describe.,negative,0,0,0.99
PERSON_0000000000,Matthew Chapman,hello world,73.71500888,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 8:53,Main necessary second attack son must share.,positive,0.88,0.03,0.09
PERSON_0000000001,Jennifer Martin,hello world,50.045118,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 8:39,Any someone building drive course student suffer personal camera budget discuss Republican win.,negative,0.02,0.26,0.72
PERSON_0000000002,Nicholas Ochoa,hello world,77.76405802,INTERACTION_0000000003,PERSON_0000000003,Bryce Finley,01/01/22 8:35,Another minute share shoulder increase push window attention kind.,neutral,0.04,0.93,0.03
PERSON_0000000003,Bryce Finley,hello world,30.13253237,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,01/01/22 8:01,Resource drug risk learn plant else light letter somebody.,negative,0.02,0.38,0.6
PERSON_0000000004,Justin Barr,hello world,5.788786578,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 8:00,Game scene thing main second where station main today good.,positive,0.99,0.01,0.01
PERSON_0000000000,Matthew Chapman,hello world,18.07111793,INTERACTION_0000000001,PERSON_0000000002,Nicholas Ochoa,01/01/22 9:27,Item realize culture total stand grow music stock speak debate the.,neutral,0.03,0.94,0.03
PERSON_0000000001,Jennifer Martin,hello world,13.77182953,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,01/01/22 9:36,Set read everyone see any policy five create real structure rule whom business.,neutral,0.25,0.69,0.06
PERSON_0000000002,Nicholas Ochoa,hello world,21.47816935,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,01/01/22 9:38,Have smile arrive sea require interesting strategy again trial live.,positive,0.99,0,0
PERSON_0000000003,Bryce Finley,hello world,93.40624492,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,01/01/22 9:52,Would population than nation event night make all week maintain.,positive,0.55,0.28,0.17
PERSON_0000000004,Justin Barr,hello world,35.10188606,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 9:13,Field power where final sit color catch each role daughter thousand.,neutral,0.02,0.97,0.02
PERSON_0000000000,Matthew Chapman,hello world,104.1644302,INTERACTION_0000000001,PERSON_0000000002,Nicholas Ochoa,01/01/22 10:28,Ability lead management good want finish law fire.,positive,1,0,0
PERSON_0000000001,Jennifer Martin,hello world,20.50857119,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 10:23,Dog early final significant part wait color research sound where western.,neutral,0.12,0.52,0.36
PERSON_0000000002,Nicholas Ochoa,hello world,40.51700949,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 10:32,Plant visit blue stock TV eat stuff else risk.,negative,0.01,0.18,0.81
PERSON_0000000003,Bryce Finley,hello world,36.26031815,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 10:53,Move piece stock car quite oil board.,neutral,0.12,0.72,0.16
PERSON_0000000004,Justin Barr,hello world,205.6125685,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,01/01/22 10:21,Financial up option although society exist.,neutral,0.02,0.91,0.07
PERSON_0000000000,Matthew Chapman,hello world,32.17700176,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,01/01/22 11:09,Hair dog ago wind side usually away hot hospital including democratic media.,neutral,0.09,0.69,0.22
PERSON_0000000001,Jennifer Martin,hello world,35.96081708,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 11:41,Owner represent option beyond certainly marriage.,neutral,0.1,0.75,0.14
PERSON_0000000002,Nicholas Ochoa,hello world,8.777182815,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,01/01/22 11:34,Nearly sea most every cover discuss every another else might.,neutral,0.11,0.49,0.4
PERSON_0000000003,Bryce Finley,hello world,8.479989323,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 11:55,Door could sing son may give.,neutral,0.09,0.86,0.05
PERSON_0000000004,Justin Barr,hello world,6.809197669,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 11:51,Hour many possible resource media bill.,neutral,0.18,0.5,0.32
PERSON_0000000000,Matthew Chapman,hello world,283.7851339,INTERACTION_0000000000,PERSON_0000000003,Bryce Finley,01/01/22 12:17,Loss church mind science himself new policy sure these total item she ago rate.,negative,0.01,0.03,0.95
PERSON_0000000001,Jennifer Martin,hello world,38.44627956,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 12:58,Certainly same ask star five early ready relationship simply on key process.,positive,0.71,0.23,0.06
PERSON_0000000002,Nicholas Ochoa,hello world,97.22546424,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 12:44,Provide boy side international option agency weight beautiful painting beautiful different wind.,positive,0.98,0.02,0
PERSON_0000000003,Bryce Finley,hello world,63.23287008,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 12:18,Serve ability serious coach purpose born operation seem none.,negative,0.34,0.07,0.59
PERSON_0000000004,Justin Barr,hello world,82.52000467,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 12:50,Keep produce receive perform team city ground find great debate ten campaign catch.,positive,1,0,0
PERSON_0000000000,Matthew Chapman,hello world,2.955793345,INTERACTION_0000000001,PERSON_0000000002,Nicholas Ochoa,01/01/22 13:01,Claim explain improve agreement garden however arm safe cup.,positive,0.79,0.18,0.03
PERSON_0000000001,Jennifer Martin,hello world,106.6073857,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 13:00,Change particular lawyer onto hundred step realize institution certain.,neutral,0.02,0.97,0.01
PERSON_0000000002,Nicholas Ochoa,hello world,42.43650666,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 13:56,Bag spend trial level may rise ahead thing soldier difference.,neutral,0.02,0.95,0.04
PERSON_0000000003,Bryce Finley,hello world,0.916109216,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 13:53,Voice itself former nor him ability military exist great idea film pass.,positive,0.97,0.02,0.02
PERSON_0000000004,Justin Barr,hello world,86.72831444,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 13:36,Book series buy huge direction read light question rule her according.,positive,0.9,0.07,0.03
PERSON_0000000000,Matthew Chapman,hello world,55.0150558,INTERACTION_0000000000,PERSON_0000000002,Nicholas Ochoa,01/01/22 14:02,Left doctor career market their instead head sport country.,neutral,0.06,0.61,0.33
PERSON_0000000001,Jennifer Martin,hello world,200.1095869,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,01/01/22 14:23,Wish course wait modern mother even visit building quite we performance serious.,positive,0.84,0.06,0.1
PERSON_0000000002,Nicholas Ochoa,hello world,39.8356199,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 14:46,Politics their business street meet debate grow turn military away forward.,neutral,0.1,0.61,0.3
PERSON_0000000003,Bryce Finley,hello world,96.07495476,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,01/01/22 14:27,Field act when leave necessary doctor four dark face knowledge drop.,negative,0.01,0.29,0.7
PERSON_0000000004,Justin Barr,hello world,150.4170113,INTERACTION_0000000002,PERSON_0000000003,Bryce Finley,01/01/22 14:02,Place across product base in surface.,neutral,0,0.99,0
PERSON_0000000000,Matthew Chapman,hello world,45.55145424,INTERACTION_0000000001,PERSON_0000000002,Nicholas Ochoa,01/01/22 15:18,Idea politics plan should stand thus.,negative,0.07,0.45,0.48
PERSON_0000000001,Jennifer Martin,hello world,151.5139839,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 15:06,Through quickly single concern side drive hospital none above five plant coach.,negative,0.02,0.25,0.73
PERSON_0000000002,Nicholas Ochoa,hello world,158.1867321,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,01/01/22 15:09,Wonder price very reason describe move direction star.,positive,0.99,0.01,0.01
PERSON_0000000003,Bryce Finley,hello world,72.29502221,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 15:05,Within student although enjoy others field last government huge traditional thank before.,positive,0.99,0,0
PERSON_0000000004,Justin Barr,hello world,96.48463304,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 15:16,Edge lose popular son camera price better certain different professor guess Mrs least.,negative,0.2,0.18,0.61
PERSON_0000000000,Matthew Chapman,hello world,5.476961157,INTERACTION_0000000001,PERSON_0000000002,Nicholas Ochoa,01/01/22 16:11,Become control early carry I world or specific.,neutral,0.02,0.95,0.03
PERSON_0000000001,Jennifer Martin,hello world,9.768731486,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,01/01/22 16:29,Design speak reason race teacher truth newspaper look knowledge scientist.,neutral,0.07,0.81,0.12
PERSON_0000000002,Nicholas Ochoa,hello world,69.81338455,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 16:29,Officer already street air court consumer out morning yet.,neutral,0.02,0.72,0.25
PERSON_0000000003,Bryce Finley,hello world,0.770246629,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 16:21,Senior increase across person long picture.,neutral,0.07,0.87,0.06
PERSON_0000000004,Justin Barr,hello world,1.7793139,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 16:37,Example beyond test test white usually.,neutral,0.01,0.95,0.04
PERSON_0000000000,Matthew Chapman,hello world,32.47649846,INTERACTION_0000000003,PERSON_0000000004,Justin Barr,01/01/22 17:32,Realize simply serious successful start section spend daughter along positive edge pass.,positive,0.99,0.01,0
PERSON_0000000001,Jennifer Martin,hello world,12.15102413,INTERACTION_0000000000,PERSON_0000000000,Matthew Chapman,01/01/22 17:27,Throw you open technology oil until act place range west end plan street.,neutral,0,0.99,0.01
PERSON_0000000002,Nicholas Ochoa,hello world,23.37768312,INTERACTION_0000000000,PERSON_0000000003,Bryce Finley,01/01/22 17:41,Discover discover admit discuss audience official we dark chair hit account where wrong.,negative,0,0.02,0.98
PERSON_0000000003,Bryce Finley,hello world,185.6537843,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,01/01/22 17:36,Throw success agree all stay drop though teach.,positive,0.84,0.11,0.05
PERSON_0000000004,Justin Barr,hello world,58.78847781,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 17:19,Under store six focus every quality apply dream.,neutral,0.31,0.69,0.01
PERSON_0000000000,Matthew Chapman,hello world,21.52751343,INTERACTION_0000000000,PERSON_0000000000,Matthew Chapman,01/01/22 18:00,Become may north street note station finally by all nor response.,negative,0.03,0.25,0.72
PERSON_0000000001,Jennifer Martin,hello world,285.8106826,INTERACTION_0000000000,PERSON_0000000003,Bryce Finley,01/01/22 18:15,After reality upon ever child alone father.,negative,0.06,0.11,0.83
PERSON_0000000002,Nicholas Ochoa,hello world,139.785061,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,01/01/22 18:49,Born daughter morning picture cause participant develop political.,negative,0.04,0.43,0.53
PERSON_0000000003,Bryce Finley,hello world,15.60333182,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 18:04,Act value why hit remember compare candidate key much throughout.,positive,0.93,0.04,0.04
PERSON_0000000004,Justin Barr,hello world,11.6700933,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 18:08,Walk week area dream ago network poor.,negative,0.01,0.01,0.98
PERSON_0000000000,Matthew Chapman,hello world,5.549800696,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 19:22,Travel individual do movie baby better administration idea middle he once too anything.,positive,0.97,0.02,0.01
PERSON_0000000001,Jennifer Martin,hello world,101.3512684,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,01/01/22 19:48,Test wife value have far blood business.,positive,0.54,0.26,0.2
PERSON_0000000002,Nicholas Ochoa,hello world,108.9955787,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 19:23,Style whether sign look camera hope body wonder.,neutral,0.09,0.88,0.03
PERSON_0000000003,Bryce Finley,hello world,6.137601047,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 19:29,Forward food policy during it country record organization whatever of man.,neutral,0.11,0.57,0.32
PERSON_0000000004,Justin Barr,hello world,4.976365915,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 19:23,Change left think health rule fund difference.,neutral,0.04,0.82,0.14
PERSON_0000000000,Matthew Chapman,hello world,2.606195486,INTERACTION_0000000003,PERSON_0000000004,Justin Barr,01/01/22 20:06,Blood huge account least toward music available.,negative,0.42,0.03,0.55
PERSON_0000000001,Jennifer Martin,hello world,10.46148482,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 20:11,Surface customer unit art type everybody lay.,neutral,0.01,0.98,0.01
PERSON_0000000002,Nicholas Ochoa,hello world,24.65485758,INTERACTION_0000000003,PERSON_0000000003,Bryce Finley,01/01/22 20:51,Glass interesting family computer standard read television piece.,positive,0.99,0,0
PERSON_0000000003,Bryce Finley,hello world,21.27385407,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 20:26,Tell health decade offer some sometimes step around this.,neutral,0.36,0.53,0.11
PERSON_0000000004,Justin Barr,hello world,49.98512502,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 20:44,Attorney check either responsibility either whole night.,neutral,0.02,0.72,0.26
PERSON_0000000000,Matthew Chapman,hello world,59.65086018,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,01/01/22 21:07,Behavior next manage his Republican economy seat customer night own book many.,neutral,0.08,0.85,0.07
PERSON_0000000001,Jennifer Martin,hello world,10.89381198,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,01/01/22 21:14,Institution at Mrs former interview town along consider black carry or.,neutral,0,0.97,0.02
PERSON_0000000002,Nicholas Ochoa,hello world,98.80725355,INTERACTION_0000000003,PERSON_0000000001,Jennifer Martin,01/01/22 21:02,Three subject church early us always.,neutral,0.21,0.73,0.05
PERSON_0000000003,Bryce Finley,hello world,79.27678844,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 21:33,Service window social trouble create identify safe but music if interview citizen stand.,negative,0.01,0.01,0.98
PERSON_0000000004,Justin Barr,hello world,75.31890595,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,01/01/22 21:40,Value pick risk citizen between glass less threat significant idea.,negative,0.06,0.18,0.76
PERSON_0000000000,Matthew Chapman,hello world,131.2022799,INTERACTION_0000000000,PERSON_0000000002,Nicholas Ochoa,01/01/22 22:36,Light talk different house sport box ball medical voice side one.,neutral,0,0.99,0.01
PERSON_0000000001,Jennifer Martin,hello world,17.87726279,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 22:10,Relationship reveal local build even thus.,neutral,0.05,0.84,0.11
PERSON_0000000002,Nicholas Ochoa,hello world,41.75740176,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,01/01/22 22:21,International central it sound season in now fall accept rock specific.,positive,0.49,0.46,0.05
PERSON_0000000003,Bryce Finley,hello world,3.090750694,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,01/01/22 22:13,Audience good administration far throughout record each institution.,positive,1,0,0
PERSON_0000000004,Justin Barr,hello world,7.757923913,INTERACTION_0000000000,PERSON_0000000003,Bryce Finley,01/01/22 22:28,Next suffer third nice hour ok try method dream computer foot benefit enter.,positive,0.96,0.02,0.02
PERSON_0000000000,Matthew Chapman,hello world,26.88988056,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,01/01/22 23:18,Read whole heavy cell force alone worker player tough.,negative,0.01,0.02,0.97
PERSON_0000000001,Jennifer Martin,hello world,88.99649737,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,01/01/22 23:55,Summer order hold suggest teach technology name.,neutral,0.08,0.9,0.03
PERSON_0000000002,Nicholas Ochoa,hello world,105.0114749,INTERACTION_0000000000,PERSON_0000000001,Jennifer Martin,01/01/22 23:44,Ahead give make class provide must.,positive,0.84,0.14,0.02
PERSON_0000000003,Bryce Finley,hello world,0.583964678,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,01/01/22 23:22,Various story sea nor water eye half field level.,neutral,0.02,0.56,0.42
PERSON_0000000004,Justin Barr,hello world,108.5856356,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,01/01/22 23:08,Fire century pass none approach couple half bank second same.,neutral,0.02,0.52,0.46
PERSON_0000000000,Matthew Chapman,hello world,71.99230339,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 0:28,Interesting environmental say tonight set beat pass join hour man news.,positive,0.96,0.02,0.02
PERSON_0000000001,Jennifer Martin,hello world,64.35075431,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 0:36,South team process last bed education friend law that imagine.,neutral,0.26,0.66,0.08
PERSON_0000000002,Nicholas Ochoa,hello world,26.57684383,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,02/01/22 0:27,Away save new and follow amount action according keep.,neutral,0.11,0.75,0.13
PERSON_0000000003,Bryce Finley,hello world,43.73881501,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,02/01/22 0:48,Southern picture however impact behavior western.,neutral,0.02,0.63,0.35
PERSON_0000000004,Justin Barr,hello world,2.843285175,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 0:59,Financial treat often whom interest civil difficult.,negative,0.01,0.01,0.98
PERSON_0000000000,Matthew Chapman,hello world,65.31651445,INTERACTION_0000000001,PERSON_0000000002,Nicholas Ochoa,02/01/22 1:02,Issue memory change Congress new deal federal.,neutral,0.01,0.92,0.07
PERSON_0000000001,Jennifer Martin,hello world,6.22471738,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,02/01/22 1:00,Seek seem job him ahead population particular small this break finally democratic.,positive,0.84,0.08,0.08
PERSON_0000000002,Nicholas Ochoa,hello world,11.09906178,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 1:33,Respond project nice Democrat along wife before accept travel human give subject.,positive,0.99,0,0
PERSON_0000000003,Bryce Finley,hello world,108.8504049,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,02/01/22 1:03,Put ask edge argue foreign bar staff attorney speech season art firm.,neutral,0.02,0.96,0.02
PERSON_0000000004,Justin Barr,hello world,3.735570654,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,02/01/22 1:42,Growth down since seek start machine history watch development language difficult deal eye.,negative,0.01,0.02,0.97
PERSON_0000000000,Matthew Chapman,hello world,48.00786174,INTERACTION_0000000001,PERSON_0000000002,Nicholas Ochoa,02/01/22 2:20,Fund day respond international water specific property.,neutral,0.03,0.94,0.03
PERSON_0000000001,Jennifer Martin,hello world,49.40510055,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 2:55,Over owner society treat over life town.,neutral,0.23,0.45,0.32
PERSON_0000000002,Nicholas Ochoa,hello world,34.72967218,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 2:11,Word two learn bar campaign ever right if.,positive,0.74,0.22,0.04
PERSON_0000000003,Bryce Finley,hello world,250.0789705,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 2:09,Discussion he admit early stop perhaps bank argue finish personal experience early.,negative,0.01,0.09,0.9
