PERSON_ID,NAME,DURATION,INTERACTION,COUNTERPART_ID,COUNTER_PART_NAME,TIME,MESSAGE,SENTIMENT_RESULT,P(POSITIVE),P(NEUTRAL),P(NEGATIVE),
PERSON_0000000017,Karen Peterson,54.3614159787044,INTERACTION_0000000000,PERSON_0000000586,Chris Mann,2022-01-01 00:22:12,Service trouble total already home shake consumer because really Republican television very.,negative,0,0.01,0.99,
PERSON_0000000018,Rita Jackson,31.4063796825913,INTERACTION_0000000001,PERSON_0000000028,Robert Meyer,2022-01-01 00:45:00,Program effort lead report discussion couple give also thank Mrs.,positive,0.96,0.03,0.02,
PERSON_0000000019,Edwin Ortiz,33.2283887053257,INTERACTION_0000000002,PERSON_0000000101,Wendy Williams,2022-01-01 00:12:02,Especially member body study training practice phone fire science safe.,neutral,0.33,0.64,0.02,
PERSON_0000000020,Holly Edwards,14.3962114715164,INTERACTION_0000000000,PERSON_0000000057,Tiffany Murphy,2022-01-01 00:51:07,Close describe student yeah century store institution fact him site maintain memory.,neutral,0.15,0.77,0.07,
PERSON_0000000021,Joseph Mendez,92.1724257354154,INTERACTION_0000000002,PERSON_0000000192,Lisa Marsh,2022-01-01 00:27:02,South alone identify ready live of for really.,positive,0.53,0.39,0.07,
PERSON_0000000022,Amy Anderson,121.435193065482,INTERACTION_0000000002,PERSON_0000000086,Richard Haley,2022-01-01 00:38:55,Fine magazine writer two task heart third both too if charge no worry.,positive,0.99,0,0.01,
PERSON_0000000023,Sean Johnson,12.070139513831,INTERACTION_0000000002,PERSON_0000000010,Bryan Murray,2022-01-01 00:35:40,Near media call certain big accept voice growth I fish modern.,neutral,0.03,0.95,0.02,
PERSON_0000000024,Rebecca Gonzalez,11.0132136274755,INTERACTION_0000000001,PERSON_0000000027,Tom Gardner,2022-01-01 00:52:33,Her I available deal family social feel he strong kid life.,positive,0.91,0.08,0.01,
PERSON_0000000025,Ashley Cruz,12.1654533375599,INTERACTION_0000000003,PERSON_0000000664,Danielle Davis,2022-01-01 00:18:30,Town story hit budget above music think might under kitchen perform child.,neutral,0.14,0.65,0.21,
PERSON_0000000026,Xavier Banks,38.4252583119953,INTERACTION_0000000003,PERSON_0000000419,Ms. Amy Frey,2022-01-01 00:27:09,Break share test citizen toward dinner agent.,negative,0.04,0.45,0.51,
PERSON_0000000027,Tom Gardner,92.1118656094355,INTERACTION_0000000001,PERSON_0000000990,William Green,2022-01-01 00:17:26,Mean might little hospital despite list statement kid despite relate hear nearly room sell.,negative,0.02,0.08,0.91,
PERSON_0000000028,Robert Meyer,45.2157485007309,INTERACTION_0000000002,PERSON_0000000276,John Sullivan,2022-01-01 00:04:25,Phone generation laugh ago full want rule call movement support read.,neutral,0.2,0.7,0.1,
PERSON_0000000029,Gerald Wiley,40.9148284091361,INTERACTION_0000000003,PERSON_0000000596,Brian Cross,2022-01-01 00:08:32,Forget summer decide team speech build.,negative,0.16,0.26,0.59,
PERSON_0000000030,Frank Arellano,27.5760016470193,INTERACTION_0000000002,PERSON_0000000044,Debra Phillips,2022-01-01 00:38:37,Study talk score fact require force do affect picture evidence.,negative,0.02,0.26,0.72,
PERSON_0000000031,Desiree Wilson,136.785526351877,INTERACTION_0000000000,PERSON_0000000152,Julie Johnson,2022-01-01 00:34:33,And start according young discussion security.,neutral,0.06,0.9,0.05,
PERSON_0000000032,Chelsea Fuentes,26.2421267103632,INTERACTION_0000000002,PERSON_0000000578,Zachary Martin,2022-01-01 00:43:54,Manager should section left it treatment practice policy shake happy Democrat shake.,positive,0.88,0.09,0.03,
PERSON_0000000033,Joyce Lewis,3.56988759151615,INTERACTION_0000000002,PERSON_0000000384,Christina Gray,2022-01-01 00:50:56,Miss imagine admit thought old wear.,negative,0.02,0.1,0.88,
PERSON_0000000034,Robert Novak,43.5534307874977,INTERACTION_0000000003,PERSON_0000000704,Catherine Olsen,2022-01-01 00:12:26,Activity pretty finally there machine program exactly game law.,neutral,0.22,0.71,0.08,
PERSON_0000000035,Stacy Moyer,76.4235662732817,INTERACTION_0000000002,PERSON_0000000725,Danielle Thomas,2022-01-01 00:02:49,Well million bill personal old ten work management mention.,neutral,0.24,0.42,0.34,
PERSON_0000000036,Anthony Nash,20.069043505215,INTERACTION_0000000003,PERSON_0000000067,Cindy Sanchez,2022-01-01 00:40:34,Pay before address wall by somebody Congress wind matter conference.,neutral,0.02,0.59,0.38,
PERSON_0000000037,Kendra Thornton,30.9049708233702,INTERACTION_0000000003,PERSON_0000000591,Samantha Martin,2022-01-01 00:33:03,Current cup seek a book film difficult employee newspaper.,negative,0.02,0.33,0.65,
PERSON_0000000038,Riley Mcintyre,16.2940235362546,INTERACTION_0000000000,PERSON_0000000938,Margaret Martin,2022-01-01 00:54:58,Fall American perhaps may growth tree benefit artist poor.,negative,0.07,0.2,0.73,
PERSON_0000000039,Lisa Wilson,20.3411957742294,INTERACTION_0000000002,PERSON_0000000602,Robert Fisher,2022-01-01 00:46:21,Contain matter throughout cause hear page a hard describe.,negative,0,0,0.99,
PERSON_0000000040,Jaime Hammond,73.715008883438,INTERACTION_0000000000,PERSON_0000000917,Jorge Johnson,2022-01-01 00:53:48,Main necessary second attack son must share.,positive,0.88,0.03,0.09,
PERSON_0000000041,Nicole Matthews DDS,50.0451180026776,INTERACTION_0000000001,PERSON_0000000848,Robert Thornton,2022-01-01 00:39:13,Any someone building drive course student suffer personal camera budget discuss Republican win.,negative,0.02,0.26,0.72,
PERSON_0000000042,Cameron Williams,77.764058021706,INTERACTION_0000000003,PERSON_0000000949,John Campbell,2022-01-01 00:35:59,Another minute share shoulder increase push window attention kind.,neutral,0.04,0.93,0.03,
PERSON_0000000043,Ashley Archer,30.1325323655929,INTERACTION_0000000003,PERSON_0000000286,Lori Willis,2022-01-01 00:01:55,Resource drug risk learn plant else light letter somebody.,negative,0.02,0.38,0.6,
PERSON_0000000044,Debra Phillips,5.78878657812085,INTERACTION_0000000003,PERSON_0000000815,Kelly Sandoval,2022-01-01 00:00:15,Game scene thing main second where station main today good.,positive,0.99,0.01,0.01,
PERSON_0000000045,Jennifer Sawyer,18.0711179284902,INTERACTION_0000000001,PERSON_0000000402,Andrew Kelly,2022-01-01 00:27:58,Item realize culture total stand grow music stock speak debate the.,neutral,0.03,0.94,0.03,
PERSON_0000000046,Zachary Frazier,13.7718295338506,INTERACTION_0000000003,PERSON_0000000255,Kathryn Shaffer,2022-01-01 00:36:12,Set read everyone see any policy five create real structure rule whom business.,neutral,0.25,0.69,0.06,
PERSON_0000000047,Mark Jackson,21.4781693459019,INTERACTION_0000000002,PERSON_0000000140,Karen Murray,2022-01-01 00:38:58,Have smile arrive sea require interesting strategy again trial live.,positive,0.99,0,0,
PERSON_0000000048,Keith Pierce,93.406244920083,INTERACTION_0000000000,PERSON_0000000358,Kristine Bullock,2022-01-01 00:52:50,Would population than nation event night make all week maintain.,positive,0.55,0.28,0.17,
PERSON_0000000049,Sally Walker,35.1018860603024,INTERACTION_0000000003,PERSON_0000000085,Dr. Michael Palmer,2022-01-01 00:13:37,Field power where final sit color catch each role daughter thousand.,neutral,0.02,0.97,0.02,
PERSON_0000000050,Lori Dennis,104.164430187512,INTERACTION_0000000000,PERSON_0000000955,Shannon Davidson,2022-01-01 00:28:42,Ability lead management good want finish law fire.,positive,1,0,0,
PERSON_0000000051,Michelle Franco,20.5085711871298,INTERACTION_0000000001,PERSON_0000000358,Kristine Bullock,2022-01-01 00:23:44,Dog early final significant part wait color research sound where western.,neutral,0.12,0.52,0.36,
PERSON_0000000052,Steven Guzman,40.5170094935716,INTERACTION_0000000001,PERSON_0000000723,Morgan Hunt,2022-01-01 00:32:44,Plant visit blue stock TV eat stuff else risk.,negative,0.01,0.18,0.81,
PERSON_0000000053,Elizabeth Nelson,36.2603181469342,INTERACTION_0000000002,PERSON_0000000281,Christopher Baird,2022-01-01 00:53:40,Move piece stock car quite oil board.,neutral,0.12,0.72,0.16,
PERSON_0000000054,Daniel Elliott,205.612568526335,INTERACTION_0000000000,PERSON_0000000195,James Rocha,2022-01-01 00:21:09,Financial up option although society exist.,neutral,0.02,0.91,0.07,
PERSON_0000000055,Michelle Lee,32.1770017622751,INTERACTION_0000000002,PERSON_0000000290,Kimberly Burns,2022-01-01 00:09:55,Hair dog ago wind side usually away hot hospital including democratic media.,neutral,0.09,0.69,0.22,
PERSON_0000000056,Tasha Mendez,35.9608170819183,INTERACTION_0000000003,PERSON_0000000136,Mark Jones,2022-01-01 00:41:27,Owner represent option beyond certainly marriage.,neutral,0.1,0.75,0.14,
PERSON_0000000057,Tiffany Murphy,8.7771828150644,INTERACTION_0000000000,PERSON_0000000279,David Allen,2022-01-01 00:34:22,Nearly sea most every cover discuss every another else might.,neutral,0.11,0.49,0.4,
PERSON_0000000058,Angela Smith,8.47998932278446,INTERACTION_0000000002,PERSON_0000000008,Robert Bell,2022-01-01 00:55:49,Door could sing son may give.,neutral,0.09,0.86,0.05,
PERSON_0000000059,Jennifer Davis,6.80919766917357,INTERACTION_0000000000,PERSON_0000000547,Cindy George,2022-01-01 00:51:54,Hour many possible resource media bill.,neutral,0.18,0.5,0.32,
PERSON_0000000060,Joshua Smith,283.785133853076,INTERACTION_0000000001,PERSON_0000000467,Robert Perkins,2022-01-01 00:17:51,Loss church mind science himself new policy sure these total item she ago rate.,negative,0.01,0.03,0.95,
PERSON_0000000061,Kenneth Stevenson,38.4462795596915,INTERACTION_0000000002,PERSON_0000000173,Alisha Morris,2022-01-01 00:58:31,Certainly same ask star five early ready relationship simply on key process.,positive,0.71,0.23,0.06,
PERSON_0000000062,Michaela Melendez,97.2254642398828,INTERACTION_0000000003,PERSON_0000000174,Kristen Murray,2022-01-01 00:44:09,Provide boy side international option agency weight beautiful painting beautiful different wind.,positive,0.98,0.02,0,
PERSON_0000000063,William Williamson,63.2328700838663,INTERACTION_0000000003,PERSON_0000000804,Justin Burns,2022-01-01 00:18:53,Serve ability serious coach purpose born operation seem none.,negative,0.34,0.07,0.59,
PERSON_0000000064,Timothy Davis,82.5200046703736,INTERACTION_0000000002,PERSON_0000000157,Courtney Todd,2022-01-01 00:50:31,Keep produce receive perform team city ground find great debate ten campaign catch.,positive,1,0,0,
PERSON_0000000065,Meghan Griffin,2.95579334450172,INTERACTION_0000000003,PERSON_0000000379,Victoria Berry,2022-01-01 00:01:52,Claim explain improve agreement garden however arm safe cup.,positive,0.79,0.18,0.03,
PERSON_0000000066,Clinton Bauer,106.607385735439,INTERACTION_0000000000,PERSON_0000000525,Alyssa Martinez,2022-01-01 00:00:01,Change particular lawyer onto hundred step realize institution certain.,neutral,0.02,0.97,0.01,
PERSON_0000000067,Cindy Sanchez,42.4365066559619,INTERACTION_0000000000,PERSON_0000000041,Nicole Matthews DDS,2022-01-01 00:56:59,Bag spend trial level may rise ahead thing soldier difference.,neutral,0.02,0.95,0.04,
PERSON_0000000068,Richard Guzman,0.916109216056207,INTERACTION_0000000002,PERSON_0000000211,Stephanie Murray,2022-01-01 00:53:51,Voice itself former nor him ability military exist great idea film pass.,positive,0.97,0.02,0.02,
PERSON_0000000069,Paige Brown,86.7283144438214,INTERACTION_0000000001,PERSON_0000000121,Russell Obrien,2022-01-01 00:36:44,Book series buy huge direction read light question rule her according.,positive,0.9,0.07,0.03,
PERSON_0000000070,Michael Wilson,55.015055802034,INTERACTION_0000000001,PERSON_0000000064,Timothy Davis,2022-01-01 00:02:35,Left doctor career market their instead head sport country.,neutral,0.06,0.61,0.33,
PERSON_0000000071,Kelly Jones,200.109586899558,INTERACTION_0000000001,PERSON_0000000477,Cassandra Salazar,2022-01-01 00:23:48,Wish course wait modern mother even visit building quite we performance serious.,positive,0.84,0.06,0.1,
PERSON_0000000072,Lauren Reynolds,39.8356198976342,INTERACTION_0000000003,PERSON_0000000304,Jeffrey Lynch,2022-01-01 00:46:54,Politics their business street meet debate grow turn military away forward.,neutral,0.1,0.61,0.3,
PERSON_0000000073,Janet Johnson,96.0749547600987,INTERACTION_0000000001,PERSON_0000000251,Jennifer Williams,2022-01-01 00:27:43,Field act when leave necessary doctor four dark face knowledge drop.,negative,0.01,0.29,0.7,
PERSON_0000000074,David Bowers,150.417011317968,INTERACTION_0000000000,PERSON_0000000252,Natasha Ford,2022-01-01 00:02:11,Place across product base in surface.,neutral,0,0.99,0,
PERSON_0000000075,Scott Higgins,45.5514542387587,INTERACTION_0000000003,PERSON_0000000291,Robert Farmer,2022-01-01 00:18:49,Idea politics plan should stand thus.,negative,0.07,0.45,0.48,
PERSON_0000000076,Brittany Howard,151.513983903554,INTERACTION_0000000002,PERSON_0000000198,Eric Fry,2022-01-01 00:06:43,Through quickly single concern side drive hospital none above five plant coach.,negative,0.02,0.25,0.73,
PERSON_0000000077,Kelly Allen,158.186732106518,INTERACTION_0000000001,PERSON_0000000971,Rebecca Stokes,2022-01-01 00:09:44,Wonder price very reason describe move direction star.,positive,0.99,0.01,0.01,
PERSON_0000000078,Joseph Wang,72.2950222102387,INTERACTION_0000000000,PERSON_0000000772,Kent Pollard,2022-01-01 00:05:30,Within student although enjoy others field last government huge traditional thank before.,positive,0.99,0,0,
PERSON_0000000079,Steven Vang,96.4846330421073,INTERACTION_0000000003,PERSON_0000000935,Andrew Stephenson,2022-01-01 00:16:28,Edge lose popular son camera price better certain different professor guess Mrs least.,negative,0.2,0.18,0.61,
PERSON_0000000080,Jill Davis,5.47696115720862,INTERACTION_0000000002,PERSON_0000000915,Barbara Cunningham,2022-01-01 00:11:00,Become control early carry I world or specific.,neutral,0.02,0.95,0.03,
PERSON_0000000081,Michael Roberts,9.76873148646068,INTERACTION_0000000001,PERSON_0000000985,Brooke Davis,2022-01-01 00:29:31,Design speak reason race teacher truth newspaper look knowledge scientist.,neutral,0.07,0.81,0.12,
PERSON_0000000082,Donna Brown,69.8133845462917,INTERACTION_0000000002,PERSON_0000000002,Nicholas Ochoa,2022-01-01 00:29:10,Officer already street air court consumer out morning yet.,neutral,0.02,0.72,0.25,
PERSON_0000000083,Ronald Bernard,0.770246629369094,INTERACTION_0000000001,PERSON_0000000323,Lisa Johnson,2022-01-01 00:21:06,Senior increase across person long picture.,neutral,0.07,0.87,0.06,
PERSON_0000000084,Chad Griffin,1.77931390014068,INTERACTION_0000000003,PERSON_0000000846,Dwayne Paul,2022-01-01 00:37:03,Example beyond test test white usually.,neutral,0.01,0.95,0.04,
PERSON_0000000085,Dr. Michael Palmer,32.4764984578757,INTERACTION_0000000003,PERSON_0000000639,Debra Baker,2022-01-01 00:32:50,Realize simply serious successful start section spend daughter along positive edge pass.,positive,0.99,0.01,0,
PERSON_0000000086,Richard Haley,12.1510241302672,INTERACTION_0000000000,PERSON_0000000514,Johnathan Young,2022-01-01 00:27:27,Throw you open technology oil until act place range west end plan street.,neutral,0,0.99,0.01,
PERSON_0000000087,Scott Simpson,23.3776831181885,INTERACTION_0000000002,PERSON_0000000623,Katie May,2022-01-01 00:41:38,Discover discover admit discuss audience official we dark chair hit account where wrong.,negative,0,0.02,0.98,
PERSON_0000000088,Kendra Chandler,185.653784271506,INTERACTION_0000000002,PERSON_0000000512,Christopher Arnold,2022-01-01 00:36:22,Throw success agree all stay drop though teach.,positive,0.84,0.11,0.05,
PERSON_0000000089,Wendy Gilbert,58.7884778130064,INTERACTION_0000000000,PERSON_0000000504,Alejandro Ferguson,2022-01-01 00:19:11,Under store six focus every quality apply dream.,neutral,0.31,0.69,0.01,
PERSON_0000000090,Mathew Ross,21.5275134295436,INTERACTION_0000000000,PERSON_0000000533,Ms. Allison Bennett DDS,2022-01-01 00:00:36,Become may north street note station finally by all nor response.,negative,0.03,0.25,0.72,
PERSON_0000000091,Paul Mendez,285.810682608495,INTERACTION_0000000002,PERSON_0000000393,Nicole Hess,2022-01-01 00:15:33,After reality upon ever child alone father.,negative,0.06,0.11,0.83,
PERSON_0000000092,Michael Kirk,139.785060973275,INTERACTION_0000000001,PERSON_0000000042,Cameron Williams,2022-01-01 00:49:05,Born daughter morning picture cause participant develop political.,negative,0.04,0.43,0.53,
PERSON_0000000093,Jason Soto,15.6033318179299,INTERACTION_0000000003,PERSON_0000000571,Dustin Allen,2022-01-01 00:04:52,Act value why hit remember compare candidate key much throughout.,positive,0.93,0.04,0.04,
PERSON_0000000095,Tammy Delgado,5.54980069571285,INTERACTION_0000000000,PERSON_0000000973,Austin Sexton,2022-01-01 00:08:51,Walk week area dream ago network poor.,negative,0.01,0.01,0.98,
PERSON_0000000096,Suzanne Waller,101.351268405343,INTERACTION_0000000000,PERSON_0000000149,Benjamin Howard,2022-01-01 00:22:04,Travel individual do movie baby better administration idea middle he once too anything.,positive,0.97,0.02,0.01,
PERSON_0000000097,Crystal Hunt,108.99557868767,INTERACTION_0000000003,PERSON_0000000355,Madison Rogers,2022-01-01 00:48:44,Test wife value have far blood business.,positive,0.54,0.26,0.2,
PERSON_0000000098,Debbie Chambers,6.13760104698847,INTERACTION_0000000001,PERSON_0000000989,James Mercado,2022-01-01 00:23:16,Style whether sign look camera hope body wonder.,neutral,0.09,0.88,0.03,
PERSON_0000000099,Erika White,4.97636591510069,INTERACTION_0000000000,PERSON_0000000681,Jason Ryan,2022-01-01 00:29:57,Forward food policy during it country record organization whatever of man.,neutral,0.11,0.57,0.32,
